MATRÍCULA;FOTO;FUNCIONÁRIO;CPF;ENDEREÇO;ID_LOCALIDADE;Cidade;Estado;CEP;FONE;EMAIL;ID_DEPTO;ID_CARGO;NPis;ADMISSÃO;SALÁRIO;;
1016;;JURANDY AIRES DA SILVA;161.897.984-76;RUA INDEPENDENCIA S/N;1;São Paulo;SP;02154-874;(11)2356-4654;;4;5;012.112.18.97.4;20/08/1999;R$ 5.600,00;;
1017;;MARIA DIVINA CORREA DE OLIVEIRA;165.489.489-48;RUA  HERBET DE AZEVEDO 492;7;Rio De Janeiro;RJ;20114-545;(11)4547-8921;;5;13;147.704.23.48.0;22/04/1998;R$ 1.756,92;;
1018;;MARIA SÁRIA DA SILVA BATISTA;159.489.489-43;RUA VIEIRA MARTINS S/N;1;São Paulo;SP;12121-545;(11)5422-2444;;7;7;145.645.64.56.4;12/06/2000;R$ 3.000,00;;
1019;;NOELMA BALBINO MITOSO LIMA;108.897.898-15;SAMUEL FRITZ  160;1;São Paulo;SP;15215-645;(11)4021-5412;;6;4;878.970.15.64.5;05/04/2002;R$ 1.597,20;;
1020;;RAIMUNDA PEREIRA LIMA;325.044.541-55;RUA AMAZONAS  79;1;São Paulo;SP;01215-454;(11)4245-1546;;5;3;900.445.48.70.4;06/05/2003;R$ 1.756,92;;
1021;;RAIMUNDO MONTEIRO DE SOUZA;904.554.891-04;COMUNIDADE DE ANANIDÉ;1;São Paulo;SP;01521-212;(11)2465-4657;;4;5;605.422.14.56.4;07/08/2003;R$ 2.200,00;;
1022;;ROMÃO AIRES DA SILVA;501.248.789-79;RUA COMENDADOR ODONEL VIEIRA S/N;1;São Paulo;SP;21215-998;(11)4567-4897;;3;5;123.416.70.45.6;10/04/2007;R$ 2.200,00;;
1023;;TEREZINHA DA SILVA VIEIRA;164.894.111-89;RUA SAMUEL FRITZ 172;1;São Paulo;SP;12616-545;(11)6587-8978;;9;4;358.445.45.64.5;12/03/2007;R$ 2.360,00;;
1024;;VERA LÚCIA DA SILVA DE SENA;165.198.744-15;RUA RUI BARBOSA 572;2;Campinas;SP;12512-615;(11)2512-4145;;9;11;121.212.31.23.1;12/09/2006;R$ 2.100,00;;
1025;;HÉLIO DE ALMEIDA;661.403.316-68;RUA OLEGÁRIO PIEDADE,28;1;São Paulo;SP;03214-512;(11)5231-2674;;4;3;456.456.45.64.5;12/08/2007;R$ 2.090,00;;
1026;;ROSANGELA DE ALMEIDA;321.415.645-46;RUA OLEGARIO PIEDADE, 48;1;São Paulo;SP;32501-545;(11)5214-5467;;8;4;798.789.79.87.9;10/09/2007;R$ 4.000,00;;
1027;;SIMONE FERNANDES;012.548.787-84;RUA FRANCISCO PEIXOTO, 300;1;São Paulo;SP;32145-646;(11)5062-6589;;8;13;498.789.78.97.9;12/04/2006;R$ 1.730,30;;
1028;;JOSÉ BRUSSI;023.159.748-97;AV. CANTAREIRA, 500;1;São Paulo;SP;60478-979;(11)5214-7741;;2;13;797.987.89.98.7;12/04/2006;R$ 1.730,30;;
1029;;PRISCILA ROBERTA;094.456.445-64;AV. MAZZEI, 600;1;São Paulo;SP;09467-487;(11)2415-6465;;3;7;615.974.89.78.9;13/09/2005;R$ 2.178,00;;
1030;;PAULO CESAR;098.890.890-90;AV. MAZZEI, 600;1;São Paulo;SP;04564-656;(11)3254-5647;;1;4;131.234.56.45.6;30/08/2007;R$ 2.200,00;;
1031;;AFRAUDÁZIO SOARES;302.165.454-54;AV. RIO DAS PEDRAS, 150;1;São Paulo;SP;03265-145;(11)5447-8798;;5;10;051.478.45.55.4;03/10/2007;R$ 1.464,10;;
1032;;FERNANDA SAMPAIO;605.656.656-50;RUA MONTE ALVERNE, 100;2;Campinas;SP;03656-565;(19)4578-7845;;7;4;603.254.54.51.1;20/05/2005;R$ 2.057,00;;
1033;;RUBENS FARIAS;302.541.444-10;RUA 7 DE SETEMBRO, 520;3;São Bernardo Do Campo;SP;60254-121;(11)4546-5789;;4;18;405.154.03.98.7;10/05/2001;R$ 2.200,00;;
1034;;MARCOS ANTUNES DE OLIVEIRA;409.744.512-10;AV. DUQUE DE CAXIAS, 1200;3;São Bernardo Do Campo;SP;70545-412;(11)4654-7878;;8;3;407.870.78.07.8;30/06/1999;R$ 4.800,00;;
1035;;JULIANA DE SOUZA NUNES;507.878.701-57;RUA DOMINICANO, 54;4;São Caetano Do Sul;SP;07787-045;(11)5645-6497;;6;8;097.874.45.11.0;01/04/2002;R$ 2.049,74;;
1036;;ROSA MARIA TAVARES;504.878.708-07;AV. DOMINGOS DE MORAES, 2500;1;São Paulo;SP;11545-120;(11)3232-3256;;10;10;305.454.87.10.6;01/05/2001;R$ 1.256,46;;
1037;;ANGELA CRISTINA DE OLIVEIRA;704.545.179-79;RUA BENTO DE CASTRO;2;Campinas;SP;90787-455;(19)2326-5021;;1;8;504.878.78.78.4;01/08/2000;R$ 2.079,00;;
1038;;NÍCOLAS FERNANDES MONTEIRO;704.545.102-12;RUA OLEGÁRIO PIEDADE, 48;1;São Paulo;SP;02220-130;(11)5487-8774;;4;18;204.154.54.51.2;15/10/2003;R$ 2.500,00;;
1039;;MARIA EDUARDA FERNANDES MONTEIRO;704.587.974-51;RUA OLEGÁRIO PIEDADE, 48;1;São Paulo;SP;02222-130;(11)2352-6589;;2;6;604.545.12.87.8;03/10/2007;R$ 2.100,00;;
1040;;NATÁLIA GUIMARÃES;045.787.821-02;AV. PEDRO RANGEL, 540;4;São Caetano Do Sul;SP;60451-278;(11)3232-5467;;6;10;807.874.54.51.2;01/10/2006;R$ 1.597,20;;
1041;;VANESSA PAIVA;504.787.887-45;AV. PAULISTA, 230;1;São Paulo;SP;01326-565;(11)6544-8977;;2;9;907.874.54.12.1;03/10/2007;R$ 1.277,76;;
1042;;JAMILLE LINO ALVES;302.165.121-41;RUA DAS CAMÉLIAS, 120;8;Curitiba;PR;24564-123;(41)3104-2152;;1;11;032.154.12.41.5;12/05/2005;R$ 1.603,86;;
1043;;RAFAEL BRUNO DE SA;021.214.000-21;AV. PEDROSO DE CARVALHO,3450;8;Curitiba;PR;01164-645;(41)5457-8978;;5;13;201.245.14.14.4;12/04/1999;R$ 1.374,92;;
1044;;EDUARDO LEONY LYRA RIOS;303.123.156-47;RUA SANTANA,450;8;Curitiba;PR;54121-123;(41)5144-7114;;10;13;501.148.78.74.0;15/06/2000;R$ 1.393,98;;
1045;;DANILO FERNANDES DA SILVA COSTA;024.789.789-74;RUA FELIPE CASTRO, 700;8;Curitiba;PR;56456-456;(41)2345-2700;;9;13;602.154.21.54.8;30/06/1998;R$ 1.732,96;;
1046;;DAYSIELLEN DOS SANTOS GONCALVES;014.487.789-79;RUA ALENCAR,455;8;Curitiba;PR;02147-870;(41)2032-6522;;8;13;221.542.15.54.0;30/04/1997;R$ 2.196,15;;
1047;;ELIENE PEREIRA SANTOS;811.400.114-45;RUA TREZE DE MAIO, 500;10;Porto Alegre;RS;30248-711;(41)3265-6888;;7;13;310.421.54.22.0;25/04/2002;R$ 1.597,20;;
1048;;DANIELLE DE SOUZA POLEGATO;131.647.984-11;RUA TEMPO SUL, 340;10;Porto Alegre;RS;60215-412;(51)9642-7542;;2;9;601.245.51.88.4;15/02/2002;R$ 1.730,30;;
1049;;TATIANA PIMENTEL FISCHER FONSECA;113.131.674-79;AV. BRASIL, 1220;10;Porto Alegre;RS;51454-121;(51)3265-8544;;2;9;612.401.32.54.8;11/06/2003;R$ 1.597,20;;
1050;;MARILIA DE PAIVA FERREIRA;161.654.165-46;AV. SANTO AMARO, 3429;1;São Paulo;SP;50213-012;(11)2355-4597;;3;9;312.401.24.57.8;22/05/2001;R$ 1.796,85;;
1051;;LUCIANA VITALINA CARNEIRO;898.413.213-21;RUA MACAPÁ, 56;1;São Paulo;SP;05412-321;(11)4654-5647;;3;10;340.124.57.64.4;26/01/2001;R$ 1.663,75;;
1052;;FABIO LUIZ MARQUES FONSECA;066.454.874-51;RUA CERES, 98;10;Porto Alegre;RS;30165-445;(51)3266-5000;;7;10;188.524.66.12.2;23/07/2008;R$ 1.863,40;;
1053;;SILVIO RICARDO DA SILVA ROCHA;159.749.800-90;AV. SANTOS DUMONT, 1910;10;Porto Alegre;RS;78979-123;(11)8445-5784;;7;11;012.451.14.41.2;20/06/2008;R$ 1.863,40;;
1054;;PAMMELLA CAMACHO DE OLIVEIRA;564.564.448-78;RUA TIMBIRÁS, 567;10;Porto Alegre;RS;74710-010;(51)3206-2324;;3;9;012.432.10.66.2;15/04/2007;R$ 1.530,65;;
1055;;GILMARA BARBOSA REIS;415.489.781-41;RUA MASCOTTI, 99;8;Curitiba;PR;01212-457;(51)2457-8745;;2;9;012.431.20.07.8;05/01/2008;R$ 1.530,65;;
1056;;ALLANA FIGUEIREDO BARROS;564.654.564-12;RUA PEDRO DE MORAES, 690;2;Campinas;SP;01241-240;(11)3203-2555;;7;10;910.421.54.87.7;26/02/2008;R$ 1.530,65;;
1057;;VITOR LOULA NEVES DOURADO;166.546.465-46;AV. BRIGADEIRO LUIZ ANTÔNIO, 780;1;São Paulo;SP;01245-748;(11)2421-4451;;3;11;540.104.21.57.7;15/10/2008;R$ 1.530,65;;
1058;;LUIZ CARLOS MATOS GONZAGA JUNIOR;111.154.878-97;AV. LUIZ DUMONT VILLARES, 677;1;São Paulo;SP;45456-100;(11)4575-4564;;2;9;012.431.24.72.1;15/12/2000;R$ 1.530,65;;
1059;;PATRICIA COELHO GOMIDE;601.247.711-00;RUA TANCREDO NEVES, 650;10;Porto Alegre;RS;60012-146;(51)3265-6565;;2;9;210.421.54.63.7;05/05/2001;R$ 1.530,65;;
1060;;MARIANA OLIVEIRA DE CARVALHO;610.415.768-23;AV. EPTÁCIO PESSOA, 1786;8;Curitiba;PR;44448-978;(41)5021-4452;;10;8;210.421.54.21.0;05/05/2006;R$ 1.597,20;;
1061;;ENEIAS MISAEL FRANCO DOS SANTOS;603.011.217-47;RUA LUCATO, 77;10;Porto Alegre;RS;02115-454;(11)5487-7945;;9;9;312.401.24.57.2;20/11/2007;R$ 1.597,20;;
1062;;BERNARDO DOURADO AGUIAR;551.124.548-97;RUA MANCINNI, 890;9;Florianópolis;SC;30121-264;(11)4564-5675;;5;10;210.421.54.99.7;15/10/2004;R$ 1.730,30;;
1063;;CAMILA CARDEAL BARRETO;114.145.645-64;AV.CASTRO ALENCAR, 796;9;Florianópolis;SC;31642-854;(11)5640-0124;;4;11;910.421.54.27.5;02/02/2002;R$ 1.663,75;;
1064;;GABRIEL GONCALVES PENNA;456.456.467-89;AV. BARBOSA PEIXOTO, 549;9;Florianópolis;SC;31042-154;(11)4878-9789;;3;10;910.421.31.24.7;15/04/2007;R$ 1.730,30;;
1065;;PEDRO CARDOSO HELENO;456.457.878-97;AV. LUCAS MAYA, 697;1;São Paulo;SP;12401-245;(11)6546-5467;;3;9;312.401.21.66.7;05/04/2008;R$ 1.637,13;;
1066;;ANTONIO CARLOS DE ALMEIDA PEREIRA JUNI;222.544.778-78;AV. DUARTE RAMOS, 900;9;Florianópolis;SC;21012-451;(45)5488-7444;;3;9;510.421.54.88.1;15/06/2008;R$ 1.663,75;;
1067;;RAFAEL BRUNO DA SILVA;999.054.544-65;RUA DOS PINHEIROS, 400;9;Florianópolis;SC;70001-245;(45)3200-1215;;2;9;510.401.02.42.8;20/09/2008;R$ 1.517,34;;
1068;;CATARINA COELHO VELLOSO;654.564.646-54;PÇA. RAMOS DE QUEIRÓS, 35;9;Florianópolis;SC;61042-154;(11)6454-8789;;4;9;210.340.12.46.5;20/09/2007;R$ 1.628,74;;
1069;;VITOR SERRA CALDAS DE SOUZA;456.456.465-45;AV. GUSTAVO ADOLFO, 1200;9;Florianópolis;SC;06160-421;(11)4567-9878;;3;9;104.215.49.57.2;15/10/2004;R$ 1.597,20;;
1070;;GISELE VILAS BOAS DA SILVA;798.789.700-44;AV. NETO PAIVA, 825;2;Campinas;SP;01241-133;(45)2521-2245;;3;9;012.431.20.43.1;15/10/2002;R$ 1.730,30;;
1071;;GABRIELA TRISTAO ARAUJO;416.545.646-54;RUA LIMA, 99;2;Campinas;SP;01320-124;(11)4564-5456;;3;13;012.451.64.21.3;12/06/2003;R$ 1.530,65;;
1072;;CLEULISSES DA SILVA DEOLIVEIRA;131.165.465-47;RUA ANCORA DO NORTE, 77;5;Diadema;SP;21041-542;(11)8455-6702;;2;12;310.421.54.21.3;10/05/2003;R$ 1.530,65;;
1073;;JAMILE CERQUEIRA BITTENCOURT;302.104.121-14;RUA WILSON MENEZES, 345;3;São Bernardo Do Campo;SP;21042-154;(45)2032-6520;;2;12;012.461.58.87.5;14/07/2003;R$ 1.530,65;;
1074;;NARA FONSECA ALVES;905.411.214-50;RUA PARÁ, 390;4;São Caetano Do Sul;SP;25401-001;(11)5021-5457;;2;13;210.421.54.31.6;20/05/2005;R$ 1.610,51;;
1075;;ARLEI HUEBRA POVOA;555.410.000-00;RUA AIXIM, 756;1;São Paulo;SP;31012-451;(11)8095-6547;;2;10;210.421.54.81.8;20/06/2006;R$ 1.610,51;;
1076;;ANGELO ANTONIO DE LIRA TOURINHO;144.567.477-00;RUA DO AMPARO, 900;1;São Paulo;SP;31042-154;(11)4704-0044;;2;10;012.451.64.24.5;20/05/2007;R$ 1.730,30;;
1077;;CINTIA GOIS MOREIRA;121.231.447-74;RUA TREZE DE MAIO, 30;1;São Paulo;SP;21245-124;(45)8044-5871;;2;9;212.040.12.51.9;25/08/2008;R$ 1.643,79;;
1078;;HEITOR PERES MANZAN;414.474.908-87;RUA DOMINGOS DE MORAES, 1340;2;Campinas;SP;65465-748;(11)4577-7000;;4;18;210.421.54.63.7;20/05/2008;R$ 2.600,00;;
1079;;JOICE RODRIGUES DA CUNHA;700.141.415-22;AV. FLORIANO PEIXOTO, 2045;2;Campinas;SP;01243-612;(11)2656-8888;;2;13;023.125.47.14.7;20/01/2001;R$ 1.637,13;;
1080;;ALEXANDRA DA SILVA MOTA;021.456.477-48;AV. BRASIL, 1029;8;Curitiba;PR;01245-487;(45)2021-5477;;2;12;201.254.12.99.9;23/05/2004;R$ 1.597,20;;
1081;;PRISCILA COELHO SILVA;155.547.770-21;AV. AFONSO SOARES, 1034;10;Porto Alegre;RS;51242-145;(11)4978-7978;;3;11;201.326.59.68.7;15/04/2007;R$ 1.637,13;;
1082;;PAULA CARDOSO MEDEIROS;902.461.572-28;AV. DO PORTO, 450;10;Porto Alegre;RS;12455-172;(13)6025-4777;;3;10;112.110.24.57.7;15/06/2008;R$ 1.663,75;;
1083;;ARI SANTOS COSTA;994.914.557-52;RUA  JULIANO, 34;7;Rio De Janeiro;RJ;15542-210;(11)4564-6787;;4;17;149.872.24.57.8;10/10/2002;R$ 1.929,95;;
1084;;CAIRON GABRIEL DE CARVALHO;800.554.112-14;RUA ALEMANHA, 290;7;Rio De Janeiro;RJ;41411-421;(11)5457-8979;;5;9;032.549.98.85.2;02/06/2008;R$ 1.357,62;;
1085;;ALAN GARCIA LIMA;906.254.221-14;RUA LEMOS, 56;7;Rio De Janeiro;RJ;74464-564;(13)5062-2588;;5;9;102.157.11.40.2;10/04/2000;R$ 1.763,58;;
1086;;HENRIQUE BARRETO DOS SANTOS SOUZA;905.464.121-45;PÇA. JUVENTUDE, 450;11;Belo Horizonte;MG;48974-456;(11)2032-6585;;5;13;021.025.25.42.3;10/05/1999;R$ 1.603,86;;
1087;;PIETRO DE SIERVI FILHO;112.157.778-97;TRV. CINCINATO, 25;11;Belo Horizonte;MG;78971-612;(11)2502-3444;;6;12;012.365.21.42.6;02/04/1998;R$ 1.597,20;;
1088;;JEANE ARAUJO DOS SANTOS;900.154.576-11;AV. LUCAS MARIANO, 570;11;Belo Horizonte;MG;51241-215;(11)2356-8001;;6;12;021.325.47.82.5;30/05/1997;R$ 1.730,30;;
1089;;IGOR VIANA SOARES;951.452.365-87;TRV. RAMOS, 50;11;Belo Horizonte;MG;31242-015;(13)2021-5411;;6;11;201.254.62.00.1;15/03/2000;R$ 1.650,44;;
1090;;VANESSA JUNQUEIRA VIANA;064.251.822-71;RUA PEIXOTO GOMIDE, 700;1;São Paulo;SP;01425-015;(11)2456-4567;;6;10;302.356.85.66.8;20/04/2004;R$ 1.730,30;;
1091;;ANDERSON TIAGO BARBOSA DE CARVALHO;900.645.124-23;RUA MANOEL BANDEIRA, 45;6;Santos;SP;61245-124;(13)2021-4300;;6;10;201.247.84.02.5;20/10/2008;R$ 1.597,20;;
1092;;MARCEL JEAN SILVA DE LIMA;914.718.245-12;RUA TELES, 150;11;Belo Horizonte;MG;41542-215;(11)5487-8005;;1;9;880.265.99.01.7;15/02/2005;R$ 1.730,30;;
1093;;MANOEL RODRIGUES DA CONCEICAO NETO;189.000.344-44;AV. LORETTO, 500;1;São Paulo;SP;51245-154;(11)5024-5235;;1;9;102.154.17.70.2;20/04/2005;R$ 1.530,65;;
1094;;CATIA DOS SANTOS SANTANA;233.625.124-51;TRV. LUÍS GOES, 77;9;Florianópolis;SC;21542-151;(45)2012-7410;;2;9;102.452.10.25.4;12/10/2006;R$ 1.530,65;;
5555;;Viviane Martins;454.454.454-45;Av. Dez;9;Florianópolis;SC;21542-151;(45)2012-7410;;11;9;454.454.44.45-5;12/05/2007;R$ 2.000,00;;
